"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","731,449","52.1%","47.9%","7.4%","7.1%","7.0%","6.8%","8.2%","14.9%","13.1%","14.2%","7.2%","5.6%","5.5%","2.2%","0.8%","33.8","74.4%","70.1%","11.4%","8.5%","544,184","52.2%","47.8%","62,119","47.9%","52.1%","","731,449","92.0%","8.0%","92.0%","66.5%","3.6%","14.0%","0.1%","0.0%","0.1%","0.0%","5.9%","0.0%","0.3%","3.2%","0.2%","0.5%","0.2%","1.4%","1.1%","0.1%","0.1%","0.6%","0.4%","0.9%","8.0%","0.7%","4.4%","0.9%","0.2%","","731,449","73.6%","5.1%","19.6%","7.6%","1.6%","1.3%","","731,449","6.0%","3.3%","0.8%","0.1%","1.7%","94.0%","63.0%","3.4%","13.8%","5.8%","1.1%","0.1%","7.0%","0.1%","6.9%","307,628"
"    2011 Estimate","","722,718","51.6%","48.4%","7.5%","7.0%","7.3%","6.9%","8.1%","14.7%","12.9%","14.9%","7.3%","5.3%","5.2%","2.2%","0.7%","33.9","74.0%","69.6%","11.1%","8.1%","534,495","51.9%","48.1%","58,367","48.7%","51.3%","","722,718","91.7%","8.3%","91.7%","66.8%","3.2%","14.2%","0.1%","0.0%","0.0%","0.0%","5.3%","0.1%","0.3%","2.5%","0.3%","0.8%","0.2%","1.1%","1.1%","0.1%","0.1%","0.8%","0.1%","1.2%","8.3%","0.8%","4.4%","1.1%","0.5%","","722,718","73.8%","5.0%","19.7%","6.9%","1.6%","1.7%","","722,718","5.8%","3.1%","0.8%","0.2%","1.7%","94.2%","63.6%","3.0%","13.8%","5.3%","1.0%","0.1%","7.4%","0.0%","7.4%","311,182"
"    2012 - 2011 Statistical Significance","","c","*","*","","","","","","","","*","","","*","","","","*","*","","*","*","*","*","*","","","","c","","","","","*","","","","","","*","*","","*","","*","","","","","","*","*","","","","","","*","","c","","","","*","","","","c","*","","","","","*","*","*","","*","","","","","","*"
"    2010 Estimate","","713,985","52.2%","47.8%","7.5%","7.0%","7.3%","7.2%","7.8%","14.5%","13.1%","15.7%","7.1%","5.2%","4.8%","2.1%","0.6%","33.8","73.6%","69.2%","10.6%","7.5%","525,600","52.2%","47.8%","53,339","47.9%","52.1%","","713,985","93.0%","7.0%","93.0%","67.4%","3.5%","14.6%","0.1%","0.0%","0.1%","0.1%","5.5%","0.1%","0.3%","2.8%","0.3%","0.6%","0.0%","1.4%","1.1%","0.2%","0.0%","0.7%","0.2%","0.9%","7.0%","0.5%","3.7%","0.9%","0.2%","","713,985","73.8%","4.6%","19.3%","7.0%","1.7%","1.3%","","713,985","5.7%","3.8%","0.7%","0.1%","1.1%","94.3%","64.0%","3.2%","14.2%","5.3%","1.0%","0.1%","6.5%","0.1%","6.4%","307,065"
"    2012 - 2010 Statistical Significance","","c","","","","","","*","","","","*","","","*","","*","","*","*","*","*","*","","","*","","","","c","*","*","*","*","","","","","","","","","","","","","*","","","","","","","","*","","","","","","c","","*","","*","","","","c","*","","","","*","*","*","","","*","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","6,553,255","49.8%","50.2%","6.7%","6.9%","7.0%","6.9%","7.2%","13.4%","12.7%","12.8%","6.0%","5.7%","8.5%","4.5%","1.7%","36.6","75.3%","71.0%","18.2%","14.8%","4,933,670","49.3%","50.7%","971,086","45.7%","54.3%","","6,553,255","97.1%","2.9%","97.1%","78.8%","4.4%","4.4%","0.1%","0.0%","2.2%","0.0%","2.9%","0.7%","0.5%","0.5%","0.2%","0.3%","0.4%","0.4%","0.2%","0.1%","0.0%","0.0%","0.1%","6.4%","2.9%","0.5%","0.7%","0.5%","0.1%","","6,553,255","81.2%","5.2%","5.4%","3.7%","0.5%","7.1%","","6,553,255","30.2%","27.2%","0.5%","0.2%","2.3%","69.8%","56.9%","4.0%","4.0%","2.8%","0.2%","0.1%","1.8%","0.1%","1.7%","2,871,486"
"    2011 Estimate","","6,482,505","49.8%","50.2%","6.9%","7.0%","7.0%","7.0%","7.1%","13.4%","12.7%","13.0%","6.0%","5.7%","8.1%","4.5%","1.7%","36.2","74.9%","70.4%","17.6%","14.2%","4,858,481","49.3%","50.7%","923,153","45.7%","54.3%","","6,482,505","97.0%","3.0%","97.0%","79.3%","4.1%","4.5%","0.0%","0.0%","2.2%","0.0%","2.7%","0.5%","0.6%","0.5%","0.2%","0.2%","0.4%","0.3%","0.2%","0.1%","0.0%","0.0%","0.1%","6.2%","3.0%","0.6%","0.6%","0.6%","0.1%","","6,482,505","81.9%","5.0%","5.3%","3.6%","0.4%","7.0%","","6,482,505","30.1%","27.3%","0.4%","0.2%","2.2%","69.9%","57.3%","3.9%","4.1%","2.7%","0.2%","0.1%","1.8%","0.1%","1.7%","2,864,360"
"    2012 - 2011 Statistical Significance","","c","","","*","","","*","","","","*","","","*","","","*","*","*","*","*","*","","","*","","","","c","","","","*","*","","","","","","*","*","","","","","","","","","","","","","","","","","","","c","*","*","","","*","","","c","c","","*","","","c","*","*","","*","","","","","","*"
"    2010 Estimate","","6,413,737","49.7%","50.3%","7.1%","7.0%","7.1%","7.2%","6.9%","13.4%","12.8%","13.2%","5.9%","5.6%","7.8%","4.4%","1.6%","35.9","74.5%","70.2%","17.0%","13.8%","4,781,326","49.2%","50.8%","886,795","45.6%","54.4%","","6,413,737","97.4%","2.6%","97.4%","79.4%","4.1%","4.5%","0.1%","0.0%","2.2%","0.0%","2.7%","0.5%","0.7%","0.5%","0.1%","0.3%","0.4%","0.3%","0.2%","0.0%","0.0%","0.1%","0.1%","6.4%","2.6%","0.5%","0.5%","0.6%","0.1%","","6,413,737","81.7%","4.9%","5.2%","3.5%","0.4%","7.1%","","6,413,737","29.8%","26.9%","0.5%","0.2%","2.1%","70.2%","57.7%","3.9%","4.1%","2.7%","0.2%","0.1%","1.6%","0.1%","1.5%","2,846,738"
"    2012 - 2010 Statistical Significance","","c","","","*","","","*","*","","*","*","","","*","*","*","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","","","","","*","*","*","","","","","","","","","*","","","*","","*","","","","c","","*","*","*","*","","","c","c","*","","","","c","*","*","","*","","","*","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","2,949,131","49.1%","50.9%","6.5%","7.0%","6.7%","6.7%","7.0%","12.9%","12.5%","13.4%","6.6%","5.8%","8.6%","4.6%","1.7%","37.6","75.9%","71.5%","18.3%","15.0%","2,237,502","48.3%","51.7%","441,107","44.0%","56.0%","","2,949,131","98.0%","2.0%","98.0%","78.3%","15.7%","0.6%","N","N","N","N","1.3%","0.4%","0.2%","0.2%","0.0%","0.0%","0.2%","0.3%","0.2%","N","N","N","N","2.0%","2.0%","0.4%","0.9%","0.2%","0.0%","","2,949,131","80.1%","16.3%","1.7%","1.6%","0.2%","2.2%","","2,949,131","6.7%","5.2%","0.2%","0.0%","1.3%","93.3%","73.9%","15.6%","0.5%","1.3%","0.2%","0.1%","1.7%","0.0%","1.7%","1,328,225"
"    2011 Estimate","","2,937,979","49.3%","50.7%","6.7%","6.7%","6.8%","6.7%","6.9%","13.0%","12.4%","13.7%","6.4%","6.0%","8.1%","4.7%","1.7%","37.5","75.8%","71.4%","18.1%","14.6%","2,226,793","48.5%","51.5%","428,625","43.6%","56.4%","","2,937,979","98.1%","1.9%","98.1%","78.2%","15.8%","0.6%","N","N","N","N","1.2%","0.2%","0.3%","0.2%","0.0%","0.1%","0.2%","0.3%","0.2%","0.0%","0.0%","0.0%","0.2%","2.1%","1.9%","0.5%","0.9%","0.2%","0.1%","","2,937,979","79.9%","16.4%","1.6%","1.5%","0.3%","2.3%","","2,937,979","6.5%","5.1%","0.2%","0.0%","1.1%","93.5%","74.3%","15.7%","0.5%","1.2%","0.2%","0.0%","1.7%","0.0%","1.6%","1,324,471"
"    2012 - 2011 Statistical Significance","","c","","","*","","","","","","","*","","","*","","","","","","*","*","*","*","*","*","*","*","","c","","","","","","","","","","","*","*","","","","","","","*","","","","","","","","","","*","","c","","","","*","","","","c","*","","","","","*","*","","","*","","","","","","*"
"    2010 Estimate","","2,921,606","49.0%","51.0%","6.7%","6.7%","6.9%","7.2%","6.8%","12.6%","12.7%","13.9%","6.2%","5.9%","8.1%","4.5%","1.8%","37.3","75.7%","71.0%","17.8%","14.4%","2,210,476","48.4%","51.6%","420,075","43.7%","56.3%","","2,921,606","98.3%","1.7%","98.3%","78.4%","15.9%","0.6%","0.3%","0.0%","0.0%","0.0%","1.1%","0.2%","0.1%","0.2%","0.0%","0.0%","0.2%","0.4%","0.2%","N","N","N","N","2.1%","1.7%","0.4%","0.7%","0.1%","0.0%","","2,921,606","80.0%","16.4%","1.5%","1.3%","0.3%","2.3%","","2,921,606","6.3%","4.7%","0.2%","0.0%","1.3%","93.7%","74.5%","15.8%","0.6%","1.1%","0.2%","0.1%","1.4%","0.0%","1.4%","1,317,818"
"    2012 - 2010 Statistical Significance","","c","","","*","","","*","","*","*","*","*","","*","","","","*","*","*","*","*","","","*","","","","c","*","*","*","","*","","","","","","*","*","","","","","","*","","","","","","","*","","*","","","","c","","*","*","*","","","","c","*","*","","","","*","*","*","","*","","","*","","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
